ds,yhat,yhat_lower,yhat_upper,year
2025-01-01,5.6701241250076695,-3.122157660064377,14.709286514068332,2025
2026-01-01,5.555220047415015,-3.411021855939777,14.545450839886513,2026
2027-01-01,5.44031596982236,-3.8642713930261072,15.05300479573225,2027
2028-01-01,5.325411892229704,-3.7679690274033275,15.026616351379408,2028
2029-01-01,5.210193008945015,-4.428766004429666,15.000181857931471,2029
2030-01-01,5.09528893135236,-5.256711639415402,14.462943608588517,2030
2031-01-01,4.980384853759705,-4.542811503378493,14.888371800429118,2031
2032-01-01,4.8654807761670495,-5.266684896622901,15.558311072732355,2032
2033-01-01,4.75026189288236,-5.1833167584792275,15.561631555606759,2033
2034-01-01,4.635357815289704,-5.490133027002438,15.580728880989854,2034
2035-01-01,4.52045373769705,-5.8723180327177,16.426903810007595,2035
2036-01-01,4.405549660104395,-7.456966334524249,15.787409596154678,2036
